@,B,D,$,E,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0009751750,0.00|0.00|0.00,2.25.08,49.82,,EUR,2,1.000000,177.600,|[Privatgiro],REFER* 0000019440508  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.275000,49.82,2.25.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,3.13.08,4.26,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,4.26,3.13.08,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,3.28.08,50.37,,EUR,2,1.000000,161.902,|[Privatgiro],REFER* 0000019729419  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.99|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.305000,50.37,3.28.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,4.21.08,50.62,,EUR,2,1.000000,179.819,|[Privatgiro],REFER* 0000020188339  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.99|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.276000,50.62,4.21.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
LU0124427344,,4.22.08,1.12,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,1.12,4.22.08,DekaStruktur: 3 Wachstum,554002,
DE000CMBT111,,5.7.08,8.40,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG COMBOTS AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,8.40,5.7.08,Atevia AG,CMBT11,
DE0005557508,,5.16.08,15.60,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,15.60,5.16.08,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0009751750,0.00|0.00|0.00,5.26.08,48.63,,EUR,2,1.000000,192.258,|[Privatgiro],REFER* 0000020633720  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.95|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.248000,48.63,5.26.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,6.12.08,4.19,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,4.19,6.12.08,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,6.25.08,48.94,,EUR,2,1.000000,184.538,|[Privatgiro],REFER* 0000020960513  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.96|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.260000,48.94,6.25.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
