@,B,D,$,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0009786285,,12.18.00,,EUR,2,1.000000,86.223,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.186000,102.26,12.18.00,Deka-EuropaPotential TF,978628,
DE0008474503,,1.12.01,,EUR,2,1.000000,81.962,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.418000,34.26,1.12.01,DekaFonds CF,847450,
,,1.18.01,,EUR,0,1.000000,34.759,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.471000,51.13,1.18.01,Deka-LifeStyle TF,515273,
DE0009786285,,1.18.01,,EUR,2,1.000000,80.647,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.268000,102.26,1.18.01,Deka-EuropaPotential TF,978628,
DE0008474503,,2.14.01,,EUR,2,1.000000,82.754,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.414000,34.26,2.14.01,DekaFonds CF,847450,
DE0008474503,,2.16.01,,EUR,2,1.000000,79.558,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.226000,17.98,2.16.01,DekaFonds CF,847450,
DE0009786285,,2.16.01,,EUR,2,1.000000,80.833,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.012000,0.97,2.16.01,Deka-EuropaPotential TF,978628,
,,2.19.01,,EUR,0,1.000000,33.462,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.528000,51.13,2.19.01,Deka-Logistik TF,515275,
DE0009786285,,2.19.01,,EUR,2,1.000000,77.236,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.324000,102.26,2.19.01,Deka-EuropaPotential TF,978628,
DE0008474503,,3.14.01,,EUR,2,1.000000,73.996,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.463000,34.26,3.14.01,DekaFonds CF,847450,
